序號,建案名稱,鄉鎮市區,投資興建商,主要基地地號,使用分區,總戶數,基地最新成交日,基地成交筆數,基地平均單價(萬/坪),基地最低單價(萬/坪),基地最高單價(萬/坪),取得建照日,申報備查日,預售首筆成交日,預售最新成交日,預售已售戶數,銷售率(%),建案成交均價(萬/坪),建案最低單價(萬/坪),建案最高單價(萬/坪),建案平均總價(萬元),房地單價倍數比(倍),房地單價差額(萬/坪),購地至取得建照歷時(月),購地至首筆預售歷時(月),開案後銷售跨度(月),狀態,預估成交均價(萬/坪)
231,"拾光薈二期","頭城鎮","金督建設股份有限公司","新興一段897地號","住宅區",12,110/09/07,1,10.4,10.4,10.4,112/06/19,112/07/04,114/07/25,114/07/25,1,8.3,32.2,32.2,32.2,950,3.1,21.8,21.4,46.6,0,已開賣(有預售實登),
232,"京采頭城2","頭城鎮","京騰建設開發有限公司","拔雅林一段156地號","住宅區",18,109/03/23,1,14.6,14.6,14.6,112/10/03,112/11/02,113/07/13,115/06/11,10,55.6,32.1,31.3,34.1,1025.6,2.2,17.5,42.3,51.7,22.9,已開賣(有預售實登),
233,"聚蒔光","頭城鎮","富俊建設有限公司","烏石港段486地號","住宅區",13,114/09/17,1,17.6,17.6,17.6,115/03/06,115/03/24,115/04/10,115/06/27,13,100,30.9,29.8,33.2,976.8,1.76,13.3,5.6,6.7,2.6,已開賣(有預售實登),
234,"蒔光匯","頭城鎮","富連城建設有限公司","烏石港段508地號","住宅區",6,113/05/27,1,18.7,18.7,18.7,113/10/22,113/12/03,114/01/06,115/05/05,6,100,29.6,28.5,32.9,1994.8,1.58,10.9,4.9,7.4,15.9,已開賣(有預售實登),
235,"覓蒔光","頭城鎮","富連城建設有限公司","烏石港段153地號","住宅區",27,113/04/18,1,17.8,17.8,17.8,113/09/18,113/10/16,113/11/10,114/10/05,25,92.6,28.6,26.5,31.1,775.9,1.61,10.8,5,6.8,10.8,已開賣(有預售實登),
236,"嶠見築","頭城鎮","寶嶠建設有限公司","新二圍段833地號","鄉村區乙種建築用地",7,114/06/08,1,11.4,11.4,11.4,114/03/24,114/04/21,114/07/10,115/04/08,4,57.1,27.1,26.6,27.5,1475,2.38,15.7,-2.5,1.1,8.9,已開賣(有預售實登),
237,"吉邑美城2","頭城鎮","勝裕開發建設有限公司","武營段535地號","住宅區",18,112/06/22,2,11.4,10.4,12.5,113/01/24,113/03/13,113/06/01,114/10/21,17,94.4,26.6,25.3,28.3,706.4,2.33,15.2,7.1,11.3,16.7,已開賣(有預售實登),
238,"海樂地2","頭城鎮","騰大建設有限公司","烏石港段366地號","住宅區",21,112/05/30,1,17.2,17.2,17.2,112/08/30,112/10/16,112/11/22,113/04/28,21,100,25.5,23.8,27,767.8,1.48,8.3,3,5.8,5.2,已開賣(有預售實登),
239,"享享生活","頭城鎮","享享建設有限公司","下埔段1128地號","鄉村區乙種建築用地",13,113/02/19,1,7.5,7.5,7.5,114/06/19,114/06/23,114/08/10,115/05/07,7,53.8,25.5,24.2,26.4,1054,3.4,18,16,17.7,8.9,已開賣(有預售實登),
240,"海樂地","頭城鎮","騰大建設有限公司","烏石港段542地號","住宅區",8,110/10/12,1,16.2,16.2,16.2,111/04/11,111/05/23,111/07/11,112/04/25,8,100,24.5,24,25.5,968.2,1.51,8.3,5.9,8.9,9.5,已開賣(有預售實登),
241,"蒔光海","頭城鎮","富連城建設有限公司","烏石港段540地號","住宅區",11,110/10/12,1,16,16,16,111/03/30,111/05/04,111/06/05,112/02/26,10,90.9,24.4,24.1,24.6,814,1.53,8.4,5.6,7.8,8.7,已開賣(有預售實登),
242,"卓越星宸","頭城鎮","唐宸建設有限公司","新二圍段296-1地號","特定農業區甲種建築用地、鄉村區乙種建築用地",15,111/05/16,1,20.9,20.9,20.9,112/09/23,113/04/23,113/05/25,114/10/20,5,33.3,23.6,22.6,25,828.2,1.13,2.7,16.3,24.3,16.9,已開賣(有預售實登),
243,"青睞5","頭城鎮","京翔建設有限公司","武營段325地號","住宅區",24,110/12/09,1,6.7,6.7,6.7,112/10/16,112/11/19,112/12/10,113/04/21,21,87.5,23.5,22.1,25.6,636.7,3.51,16.8,22.2,24,4.4,已開賣(有預售實登),
244,"人文精品","頭城鎮","宏曆建設有限公司","拔雅林二段21地號","住宅區",8,113/08/06,5,10.2,8,15,114/06/18,114/07/09,114/08/15,115/07/25,8,100,23.1,21.7,25.9,1383.8,2.26,12.9,10.4,12.3,11.3,已開賣(有預售實登),
245,"閱蒔光","頭城鎮","富連城建設有限公司","拔雅林三段985地號","住宅區",12,111/05/12,1,10.1,10.1,10.1,112/01/13,112/04/27,112/06/02,112/07/05,12,100,21.8,21,22.9,687.2,2.16,11.7,8.1,12.7,1.1,已開賣(有預售實登),
246,"金城邑","頭城鎮","承家建設有限公司","拔雅林五段335地號","住宅區",12,110/04/26,1,6.4,6.4,6.4,111/01/04,111/02/08,111/03/06,111/11/17,12,100,20.3,19.8,20.7,732.2,3.17,13.9,8.3,10.3,8.4,已開賣(有預售實登),
247,"礁溪帝堡","礁溪鄉","桂冠開發建設股份有限公司","公園北段1地號","休閒別墅區",21,110/05/28,1,28.5,28.5,28.5,111/05/11,111/06/28,111/09/05,114/05/21,14,66.7,46.6,45.3,47.4,2573.9,1.64,18.1,11.4,15.3,32.5,已開賣(有預售實登),
248,"綠堤見晴2","礁溪鄉","瓏翔建設有限公司","十六結新段569地號","特定農業區甲種建築用地",17,111/05/01,1,12,12,12,112/02/20,112/10/25,110/12/26,114/05/31,17,100,31.7,19.2,36.3,879.4,2.64,19.7,9.7,-4.1,41.1,已開賣(有預售實登),
249,"水野路路","礁溪鄉","中國建築經理股份有限公司","朝陽段30地號","一般農業區甲種建築用地",128,109/04/10,1,4.2,4.2,4.2,110/05/06,110/09/24,112/06/28,114/01/18,34,26.6,30.4,11.1,42.8,576.2,7.24,26.2,12.8,38.6,18.7,已開賣(有預售實登),
250,"青井澤16","礁溪鄉","磐谷建設股份有限公司","龍泉段433地號","住宅區",16,113/09/13,2,19,19,19,114/05/08,115/02/04,115/04/18,115/04/29,3,18.8,29.2,28.9,29.6,860,1.54,10.2,7.8,19.1,0.4,已開賣(有預售實登),
251,"鳳凰愛買15期","礁溪鄉","晨啟建設股份有限公司","龍泉段750地號","住宅區",50,111/05/19,1,17.5,17.5,17.5,114/01/03,114/01/17,114/02/04,115/07/01,35,70,28.6,26.3,34.5,993.1,1.63,11.1,31.5,32.6,16.8,已開賣(有預售實登),
252,"星丞心","礁溪鄉","利泰興建設有限公司","玉田段1477地號","特定農業區甲種建築用地",30,111/05/17,1,10,10,10,112/07/26,113/06/27,113/11/05,115/02/06,13,43.3,27.9,25.9,30.9,742.9,2.79,17.9,14.3,29.7,15,已開賣(有預售實登),
253,"鳳凰愛買11-阡荀","礁溪鄉","亞別建設股份有限公司","三民一段386地號","特定農業區甲種建築用地",76,110/11/30,3,8.6,8.5,8.7,112/11/28,112/12/21,113/02/19,114/07/08,72,94.7,27.4,23.7,37.9,1095.3,3.19,18.8,23.9,26.6,16.6,已開賣(有預售實登),
254,"玉屏鮮境2-1","礁溪鄉","寶嶠建設有限公司","白雲段90地號","鄉村區乙種建築用地",4,113/07/29,13,11,10,12.3,112/09/27,113/10/17,113/11/23,113/11/23,1,25,26.9,26.9,26.9,888,2.45,15.9,-10.1,3.8,0,已開賣(有預售實登),
255,"獨角仙與光臘樹2","礁溪鄉","獨角仙建設股份有限公司","朝陽段920-1地號","一般農業區甲種建築用地",81,111/12/18,1,7.3,7.3,7.3,112/09/13,112/09/21,112/03/03,113/06/19,81,100,26.8,22.7,32,491.8,3.67,19.5,8.8,2.5,15.6,已開賣(有預售實登),
256,"富登新20","礁溪鄉","僑馥建築經理股份有限公司","瑪僯段486地號","特定農業區甲種建築用地",18,113/05/24,1,12,12,12,114/03/03,114/03/13,115/04/05,115/04/05,1,5.6,25.8,25.8,25.8,880,2.15,13.8,9.3,22.4,0,已開賣(有預售實登),
257,"鈺雲居","礁溪鄉","寶鈺建設有限公司","白雲段89-1地號","鄉村區乙種建築用地",8,113/05/11,1,10.2,10.2,10.2,113/11/06,114/12/24,115/01/10,115/01/10,1,12.5,25.8,25.8,25.8,1450,2.53,15.6,5.9,20,0,已開賣(有預售實登),
258,"早稻田","礁溪鄉","萱運有限公司","玉田段1284地號","特定農業區甲種建築用地",14,111/06/16,1,9.5,9.5,9.5,112/09/05,112/10/26,113/05/31,115/03/25,14,100,25.3,23,26.2,1284.8,2.66,15.8,14.7,23.5,21.8,已開賣(有預售實登),
259,"宗硯大砌系列19","礁溪鄉","仲和建築經理股份有限公司","龍泉段209-4地號","農業區",8,113/09/06,1,13.4,13.4,13.4,115/01/22,115/05/07,115/06/27,115/07/24,4,50,24.8,23.2,26.1,999,1.85,11.4,16.5,21.7,0.9,已開賣(有預售實登),
260,"鳳凰愛買22期","礁溪鄉","晨欣建設股份有限公司","十六結新段256地號","特定農業區甲種建築用地",48,113/08/07,1,17.9,17.9,17.9,114/09/30,114/11/05,114/11/28,115/07/25,8,17,24.3,22.5,29,781.6,1.36,6.4,13.8,15.7,7.9,已開賣(有預售實登),
261,"玉屏鮮境2","礁溪鄉","寶嶠建設有限公司","白雲段90-2地號","鄉村區乙種建築用地",6,113/07/29,13,11,10,12.3,112/09/27,112/10/01,112/10/31,113/12/10,5,83.3,22.8,21.7,25.4,1342.6,2.07,11.8,-10.1,-8.9,13.3,已開賣(有預售實登),
262,"玉田森活2","礁溪鄉","鼎弘健康生技有限公司","玉田段1079地號","特定農業區甲種建築用地",14,111/07/05,2,7.2,7.2,7.2,112/07/11,112/08/21,113/06/02,113/12/05,11,78.6,22.5,21.4,23.1,1260.7,3.13,15.3,12.2,22.9,6.1,已開賣(有預售實登),
263,"青睞3","礁溪鄉","京鴻建設有限公司","玉泉段326地號","特定農業區甲種建築用地",12,110/04/06,1,9,9,9,111/05/13,111/08/10,111/09/30,112/12/30,9,75,22.4,21.8,22.8,1003.9,2.49,13.4,13.2,17.8,15,已開賣(有預售實登),
264,"青井澤 NO.12","礁溪鄉","磐谷建設股份有限公司","龍泉段711地號","住宅區",45,109/09/01,1,10.2,10.2,10.2,110/07/26,110/09/29,111/03/21,112/05/02,44,97.8,21.8,19.4,27.9,727.3,2.14,11.6,10.8,18.6,13.4,已開賣(有預售實登),
265,"雲祥","礁溪鄉","囍昌建設有限公司","白雲段147地號","鄉村區乙種建築用地",9,110/04/30,1,9.5,9.5,9.5,111/08/03,111/08/23,112/04/17,113/03/16,9,100,21.5,20,22.4,686.8,2.26,12,15.1,23.6,11,已開賣(有預售實登),
266,"鳳凰愛買第八期","礁溪鄉","晨希建設股份有限公司","白玉段369地號","鄉村區乙種建築用地",18,111/01/03,1,12.9,12.9,12.9,112/03/10,112/05/02,112/08/26,113/01/28,18,100,21.5,20.2,23.5,593.2,1.67,8.6,14.2,19.7,5.1,已開賣(有預售實登),
267,"鳳凰愛買23期","礁溪鄉","晨希建設股份有限公司","協民段206地號","特定農業區甲種建築用地",24,113/10/16,3,6.2,1.5,12,114/10/07,114/11/10,115/01/06,115/07/25,13,54,20.2,18.4,22.4,559.4,3.26,14,11.7,14.7,6.6,已開賣(有預售實登),
268,"寬闊玉稻愛","礁溪鄉","僑馥建築經理股份有限公司","玉田段866-1地號","特定農業區(甲種建築用地)",46,105/11/21,2,8.2,7.9,8.5,108/05/13,110/08/16,110/09/23,111/09/28,32,69.6,19.7,15.4,24.4,630.5,2.4,11.5,29.7,58.1,12.2,已開賣(有預售實登),
269,"礁溪御田","礁溪鄉","富旺建設股份有限公司","玉田段478地號","特定農業區甲種建築用地",51,109/09/27,1,6.2,6.2,6.2,110/12/23,110/12/28,111/02/28,113/10/27,51,100,19.1,17.5,21.3,902.3,3.08,12.9,14.9,17.1,31.9,已開賣(有預售實登),
270,"禮里","羅東鎮","炘達建設有限公司","羅莊段25地號","住宅區",20,112/02/01,1,33.8,33.8,33.8,113/03/20,113/11/14,113/12/20,115/07/27,15,75,42.8,36.7,66.5,1176,1.27,9,13.6,22.6,19.2,已開賣(有預售實登),
271,"海樂地3","羅東鎮","騰大建設有限公司","中華段198地號","住宅區",20,113/06/27,1,36.5,36.5,36.5,115/01/19,115/03/13,115/05/22,115/07/01,10,50,39.1,38.5,39.7,1299.7,1.07,2.6,18.8,22.8,1.3,已開賣(有預售實登),
272,"東安寓","羅東鎮","日勝發開發有限公司","東安段1040地號","住宅區",8,111/01/22,1,24.7,24.7,24.7,112/02/01,112/04/12,112/08/28,114/08/15,8,100,36,32.6,45.6,1177.4,1.46,11.3,12.3,19.2,23.6,已開賣(有預售實登),
273,"青見2","羅東鎮","九畝田有限公司","國華段436地號","住宅區",8,113/03/04,1,30,30,30,113/07/23,113/09/24,115/04/13,115/04/13,1,12.5,35.3,35.3,35.3,435,1.18,5.3,4.6,25.3,0,已開賣(有預售實登),
274,"鳳凰愛買25期","羅東鎮","晨昇建設股份有限公司","東安段1060地號","住宅區",20,113/12/31,2,36.4,34,38.8,115/02/06,115/03/17,115/04/07,115/07/04,10,50,34.5,31.1,38.7,657,0.95,-1.9,13.2,15.2,2.9,已開賣(有預售實登),
275,"文心蘭","羅東鎮","豐菖建設有限公司","新西安段723地號","特定農業區甲種建築用地",36,111/09/19,2,16.8,16.8,16.8,113/06/06,113/09/06,113/11/11,115/07/24,28,78,31.8,30,32.9,1066.3,1.89,15,20.6,25.8,20.4,已開賣(有預售實登),
276,"宏江馥莊","羅東鎮","宏江開發事業股份有限公司","十六份新段59地號","特定農業區甲種建築用地",30,112/08/14,2,23.9,22.9,25,113/01/05,113/02/07,113/03/04,115/03/22,24,80,31.6,28.8,36.2,1017.1,1.32,7.7,4.7,6.7,24.6,已開賣(有預售實登),
277,"東榮二段","羅東鎮","玉鼎建設股份有限公司","東榮二段23地號","第二種產業專用區",4,114/05/14,3,29,28.8,29.5,114/04/30,115/04/28,115/05/27,115/05/27,1,25,31.6,31.6,31.6,3750,1.09,2.6,-0.5,12.4,0,已開賣(有預售實登),
278,"櫻花紅豆","羅東鎮","玉山開發建設有限公司","十六份新段650地號","特定農業區甲種建築用地",21,109/12/19,1,17.2,17.2,17.2,111/03/11,111/03/25,111/05/07,113/09/16,14,66.7,30.4,24.3,37.6,820.3,1.77,13.2,14.7,16.6,28.4,已開賣(有預售實登),
279,"好徠居3","羅東鎮","泰勛建設股份有限公司","羅莊段80地號","住宅區",10,111/03/15,1,30,30,30,112/03/29,112/04/11,112/06/03,112/07/07,10,100,26.8,25.2,30.1,805.3,0.89,-3.2,12.5,14.6,1.1,已開賣(有預售實登),
280,"築林居","羅東鎮","築林興業有限公司","北成一段10-2地號","特定農業區甲種建築用地",3,111/02/21,1,14,14,14,111/11/16,111/12/19,112/03/01,112/03/21,3,100,26.6,25.9,27.1,858.3,1.9,12.6,8.8,12.3,0.7,已開賣(有預售實登),
281,"尚穎居","羅東鎮","興穎建設有限公司","國華段29地號","住宅區",18,109/10/07,1,29.5,29.5,29.5,111/01/21,111/03/25,111/05/03,113/03/04,18,100,26.4,25,27.5,867.3,0.89,-3.1,15.5,18.8,22,已開賣(有預售實登),
282,"國磐居樂","羅東鎮","國磐建設股份有限公司","十六份新段2地號","特定農業區甲種建築用地",30,110/01/18,2,20,20,20,110/10/06,110/10/27,110/11/06,112/12/20,30,100,26.3,24.4,29.3,908.4,1.32,6.3,8.6,9.6,25.4,已開賣(有預售實登),
283,"新群左岸","羅東鎮","明智富建設有限公司","新群二段568地號","特定農業區甲種建築用地",32,109/12/05,1,12.6,12.6,12.6,111/08/11,111/08/30,111/10/06,112/12/18,29,90.6,25.5,24.2,28,585.1,2.02,12.9,20.2,22,14.4,已開賣(有預售實登),
284,"鳳凰愛買-光榮家築","羅東鎮","晨光建設股份有限公司","東安段1045地號","住宅區",48,109/08/07,1,33.6,33.6,33.6,110/08/27,110/10/29,110/12/06,111/01/10,48,100,23.4,21.5,25.5,630,0.7,-10.2,12.6,16,1.1,已開賣(有預售實登),
285,"御品","蘇澳鎮","永來建設有限公司","思村段351-18地號","住宅區",26,109/09/29,1,5.3,5.3,5.3,111/01/12,112/05/22,114/07/16,114/07/16,1,3.8,24.5,24.5,24.5,1176,4.62,19.2,15.4,57.5,0,已開賣(有預售實登),
286,"卓閱","蘇澳鎮","鼎正開發建設有限公司","思村段907地號","住宅區",30,110/11/30,1,7.3,7.3,7.3,114/07/28,114/08/27,114/10/14,115/01/20,8,26.7,24.5,22.8,26.2,1315.5,3.36,17.2,43.9,46.5,3.2,已開賣(有預售實登),
287,"群亦澄亦","蘇澳鎮","群亦建設有限公司","文化段542-1地號","住宅區",8,113/12/11,1,9.5,9.5,9.5,114/07/21,114/09/01,114/10/08,114/10/25,7,87.5,23.3,22.3,24.7,1135.1,2.45,13.8,7.3,9.9,0.6,已開賣(有預售實登),
288,"謙羽上品","蘇澳鎮","凱達開發建設股份有限公司","新隆恩段401地號","特定農業區甲種建築用地",18,107/08/30,1,3,3,3,113/01/25,113/02/23,113/04/13,113/09/19,17,94.4,22.7,22,24,938.4,7.57,19.7,64.9,67.4,5.2,已開賣(有預售實登),
289,"享建築","蘇澳鎮","嘉福開發股份有限公司","文化段540地號","住宅區",44,113/12/11,1,9.5,9.5,9.5,114/11/18,115/02/05,115/05/24,115/06/18,3,6.8,22.7,22,23.4,671.3,2.39,13.2,11.2,17.4,0.8,已開賣(有預售實登),
290,"海藍境","蘇澳鎮","吉品建設股份有限公司","濱海段602-3地號","農業區",34,113/02/22,1,5,5,5,114/03/03,114/08/21,115/07/08,115/07/08,1,2.9,21.9,21.9,21.9,498,4.38,16.9,12.3,28.5,0,已開賣(有預售實登),
291,"圓美磐筑","蘇澳鎮","圓美建設有限公司","永愛段447地號","住宅區",57,110/11/03,1,8.6,8.6,8.6,114/11/28,115/01/14,115/03/21,115/07/26,13,23,21.3,19.4,22.6,724.8,2.48,12.7,48.8,52.5,4.2,已開賣(有預售實登),
292,"耀建築","蘇澳鎮","嘉福營造股份有限公司","永愛段918地號","住宅區",95,111/09/15,1,7,7,7,112/05/12,112/06/27,112/09/19,115/05/08,88,92.6,21.2,19.2,27.4,723.3,3.03,14.2,7.9,12.1,31.6,已開賣(有預售實登),
293,"晉讚賈天下2","蘇澳鎮","憶昌建設有限公司","蘇聖段331地號","住宅區",28,111/04/12,2,9.3,8.5,10,112/01/13,112/07/25,112/10/28,113/04/01,17,60.7,21.2,19.2,24.7,385.5,2.28,11.9,9.1,18.5,5.1,已開賣(有預售實登),
294,"好室多","蘇澳鎮","春德建設股份有限公司","永愛段379地號","住宅區",114,109/11/25,1,6.9,6.9,6.9,111/01/05,113/11/15,114/01/06,115/04/09,25,21.9,20.7,19.7,22.5,779.9,3,13.8,13.3,49.4,15,已開賣(有預售實登),
295,"百亨優閣透天別墅NO.10","蘇澳鎮","百亨開發有限公司","思村段864地號","住宅區",17,111/01/10,1,7.4,7.4,7.4,111/12/29,112/03/01,112/04/08,114/03/28,12,70.6,20.6,20,21.4,1022.5,2.78,13.2,11.6,14.9,23.7,已開賣(有預售實登),
296,"群亦信義","蘇澳鎮","群亦建設有限公司","思村段502地號","住宅區",12,112/06/20,1,9,9,9,112/12/29,113/05/23,113/06/21,114/07/16,12,100,19.6,19,20.3,462.3,2.18,10.6,6.3,12.1,12.8,已開賣(有預售實登),
297,"日安居","蘇澳鎮","晏居建設有限公司","坪林段34地號","住宅區",3,110/07/28,1,4.7,4.7,4.7,111/12/29,113/04/25,113/10/11,113/10/11,1,33.3,19.3,19.3,19.3,1060,4.11,14.6,17.1,38.5,0,已開賣(有預售實登),
298,"百亨優閣9","蘇澳鎮","百亨開發有限公司","思村段862地號","住宅區",16,110/05/03,1,7.7,7.7,7.7,111/02/11,111/06/08,111/08/31,112/07/01,13,81.2,18.1,17.5,18.9,575.9,2.35,10.4,9.3,15.9,10,已開賣(有預售實登),
299,"雅苑","蘇澳鎮","旭鼎建設有限公司","龍德段373地號","工業區丁種建築用地",16,112/03/07,3,4.5,3.6,6.2,112/09/22,112/10/23,113/02/28,114/06/14,16,100,17.3,16.2,18.1,420.8,3.84,12.8,6.5,11.8,15.5,已開賣(有預售實登),
300,"圓滿NO.5","蘇澳鎮","圓美建設有限公司","永愛段349地號","住宅區",3,109/12/16,1,7.6,7.6,7.6,111/03/11,111/04/05,111/05/26,111/06/01,3,100,17,16.4,17.7,860.7,2.24,9.4,14.8,17.3,0.2,已開賣(有預售實登),
301,"靚圓滿","蘇澳鎮","圓滿建設有限公司","永愛段533地號","商業區",41,110/04/26,1,9.1,9.1,9.1,111/03/10,111/03/18,111/03/27,113/03/09,41,100,16.9,15.5,25.1,435.7,1.86,7.8,10.4,11,23.4,已開賣(有預售實登),
302,"京禾三期文學苑","蘇澳鎮","京禾地產建設有限公司","文化段67地號","住宅區",12,110/01/13,2,6.8,6.7,7,110/07/02,111/02/28,111/05/16,112/02/04,11,91.7,16.4,15.8,18.3,475.5,2.41,9.6,5.6,16,8.7,已開賣(有預售實登),
303,"青逸居","蘇澳鎮","天燁開發建設有限公司","永愛段544地號","商業區",32,110/03/13,1,10.7,10.7,10.7,110/09/15,111/01/27,111/03/18,112/03/12,30,93.8,15.9,14.7,16.8,423.6,1.49,5.2,6.1,12.2,11.8,已開賣(有預售實登),
304,"保安富貴透天住宅","蘇澳鎮","鼎築建設股份有限公司","保安段757-8地號","住宅區",5,107/01/25,1,6.6,6.6,6.6,110/12/10,111/04/28,111/05/20,111/07/10,5,100,15.3,14.2,16.4,969.2,2.32,8.7,46.5,51.8,1.7,已開賣(有預售實登),
305,"村聲","壯圍鄉","寶麗金建設有限公司","壯志段528地號","特定農業區甲種建築用地",22,113/05/02,1,6.7,,,115/05/07,115/07/09,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.4
306,"臻愛家No.2","冬山鄉","仲和建築經理股份有限公司","廣興一段1116地號","特定農業區 甲種建築用地",9,112/06/22,1,8.9,,,114/05/06,115/07/02,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),23.7
307,"品生活NO5上品","羅東鎮","品生活建設股份有限公司","公正段798地號","住宅區",12,114/12/25,1,33,,,115/06/08,115/07/02,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),38.1
308,"群亦澄亦2","蘇澳鎮","群亦建設有限公司","文化段542-15地號","住宅區",6,113/12/11,1,9.5,,,115/01/13,115/06/23,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),24.1
309,"富登新18","蘇澳鎮","閎綸建設有限公司","永安段145地號","住宅區",18,113/07/03,1,4.5,,,115/06/09,115/06/22,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),21.1
310,"弘程恆泰","宜蘭市","弘程建設股份有限公司","新公園段153地號","第二種工商特定專用區",11,115/01/14,1,25,,,115/05/12,115/06/22,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),33.3
311,"冉冉・晴嶼","頭城鎮","冉冉開發股份有限公司","烏石港段118-9地號","住宅區",4,107/05/09,1,18.7,,,114/11/28,115/06/18,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),29.5
312,"中道森活3","壯圍鄉","鼎弘健康生技有限公司","五權段789地號","特定農業區甲種建築用地",27,112/12/03,1,6.5,,,115/01/26,115/06/10,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.3
313,"有鄰居8","員山鄉","相鄰建設有限公司","湖北段392地號","特定農業區甲種建築用地",15,111/10/09,1,7.5,,,115/04/23,115/06/10,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.9
314,"青松賦","三星鄉","宜元開發有限公司","大湖段128-6地號","特定農業區甲種建築用地",4,112/04/19,1,6.8,,,113/04/12,115/06/08,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.5
315,"協通光韻","宜蘭市","協通建設有限公司","北津段134地號","特定農業區甲種建築用地",32,113/06/22,1,12.6,,,115/02/13,115/05/25,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),25.9
316,"踏踏鹿","礁溪鄉","僑馥建築經理股份有限公司","實踐一段375地號","特定農業區甲種建築用地",84,111/11/30,3,10.8,,,114/04/17,115/05/20,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),24.8
317,"順和苑NO.7","壯圍鄉","天祿地球村科技有限公司","中興段703地號","特定農業區甲種建築用地",24,113/11/10,1,8.7,,,115/01/05,115/05/15,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),23.6
318,"鼎勝傳家別墅II","冬山鄉","信基實業股份有限公司","香和段1017地號","住宅區",22,113/12/06,1,15.5,,,114/11/19,115/05/14,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),27.6
319,"邑良居","羅東鎮","仲和建築經理股份有限公司","復興段347地號","住宅區",8,114/06/28,2,28,,,114/06/27,115/04/27,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),35.1
320,"達觀水序","冬山鄉","達觀建設股份有限公司","柯林三段60地號","特定農業區甲種建築用地",28,112/10/16,1,11,,,114/10/23,115/04/11,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),25
321,"青井澤17","礁溪鄉","磐谷建設股份有限公司","龍泉段401地號","住宅區",14,114/02/18,1,19,,,114/07/15,115/03/09,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),29.7
322,"宸陽城陽7","員山鄉","宸陽建設有限公司","阿蘭城段160地號","鄉村區乙種建築用地",3,114/06/07,1,13.3,,,114/09/22,115/02/25,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),26.3
323,"紘大晶鑽","壯圍鄉","紘大建設有限公司","中興段859地號","特定農業區甲種建築用地",27,111/07/22,1,8.5,,,114/03/21,115/01/12,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),23.5
324,"百亨優閣-電梯華廈NO13","冬山鄉","百亨開發有限公司","廣興一段698地號","特定農業區甲種建築用地",27,110/10/08,1,5.2,,,114/09/17,114/12/16,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),21.5
325,"久園逸境","宜蘭市","久園建設有限公司","進士段234地號","第二種住宅區",2,113/04/18,1,25.5,,,114/08/04,114/11/24,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),33.6
326,"鳳凰愛買19期","冬山鄉","千水建設股份有限公司","武淵三段57地號","風景區丙種建築用地",42,113/05/02,1,7.2,,,114/09/11,114/09/19,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.7
327,"怡華墅天地","五結鄉","怡華實業股份有限公司","利成段868地號","鄉村區乙種建築用地",92,112/02/22,1,6,,,114/04/17,114/08/19,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22
328,"品星","三星鄉","朕承建設有限公司","大坑段190地號","特定農業區甲種建築用地",2,113/06/07,2,7.5,,,114/06/23,114/08/14,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.9
329,"舒美圓山","員山鄉","舒美興建設有限公司","油車段80地號","特定農業區甲種建築用地",26,111/12/05,2,8.4,,,114/07/21,114/07/30,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),23.4
330,"四季藝墅","壯圍鄉","僑馥建築經理股份有限公司","壯濱三段199地號","鄉村區乙種建築用地",5,113/06/01,2,4.5,,,114/02/11,114/07/25,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),21.1
331,"和寓","冬山鄉","品揚建設有限公司","香和段975地號","住宅區",14,109/08/17,1,4.8,,,112/10/23,114/06/13,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),21.3
332,"常青紅5","五結鄉","德銘開發建設有限公司","五結段918地號","特定農業區甲種建築用地",7,112/09/12,1,16,,,113/04/15,114/06/06,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),27.9
