序號,建案名稱,鄉鎮市區,投資興建商,主要基地地號,使用分區,總戶數,基地最新成交日,基地成交筆數,基地平均單價(萬/坪),基地最低單價(萬/坪),基地最高單價(萬/坪),取得建照日,申報備查日,預售首筆成交日,預售最新成交日,預售已售戶數,銷售率(%),建案成交均價(萬/坪),建案最低單價(萬/坪),建案最高單價(萬/坪),建案平均總價(萬元),房地單價倍數比(倍),房地單價差額(萬/坪),購地至取得建照歷時(月),購地至首筆預售歷時(月),開案後銷售跨度(月),狀態,預估成交均價(萬/坪)
95,"鹿嘉邑","冬山鄉","承奕建設有限公司","義成八段1320地號","鄉村區乙種建築用地",20,110/11/19,1,10.8,10.8,10.8,111/09/15,111/11/16,111/12/23,113/03/30,20,100,22.3,20.8,31.1,659,2.06,11.5,9.9,13.1,15.2,已開賣(有預售實登),
96,"鳳凰愛買-第十期","冬山鄉","多福建設有限公司","柯林二段259地號","特定農業區甲種建築用地",34,111/05/04,2,7.6,7.2,8,112/03/02,112/07/18,112/10/01,113/03/11,28,82.4,22.3,20.4,23.8,1232.4,2.93,14.7,9.9,16.9,5.3,已開賣(有預售實登),
97,"好適悅","冬山鄉","好適悅建設有限公司","香和段140地號","住宅區",34,110/10/22,1,11.7,11.7,11.7,111/05/05,111/12/13,112/01/20,112/09/06,26,76.5,22.2,21,23.6,611,1.9,10.5,6.4,14.9,7.5,已開賣(有預售實登),
98,"驊邦家禾","冬山鄉","驊峸開發有限公司","補城一段414-22地號","特定農業區甲種建築用地",16,112/06/15,1,9.5,9.5,9.5,113/06/17,113/08/30,113/12/20,114/09/20,8,50,22,20.6,23.3,1333,2.32,12.5,12.1,18.2,9,已開賣(有預售實登),
99,"美澍川NO.8","冬山鄉","北岳建設股份有限公司","武淵三段262地號","特定農業區甲種建築用地",15,113/02/28,1,9.1,9.1,9.1,113/11/08,114/01/22,114/02/15,115/05/05,15,100,22,21.6,23.3,1401.3,2.42,12.9,8.3,11.6,14.6,已開賣(有預售實登),
100,"幸福舞鴛","冬山鄉","旺旺興建設股份有限公司","武淵二段874地號","特定農業區甲種建築用地",14,111/01/25,1,8,8,8,111/12/07,112/06/21,112/09/21,114/05/10,14,100,21.2,18.4,28,605.2,2.65,13.2,10.4,19.8,19.6,已開賣(有預售實登),
101,"香榭麗舍NO.8","冬山鄉","香榭建設有限公司","丸山段62地號","特定農業區甲種建築用地",27,111/07/31,1,7.1,7.1,7.1,112/09/01,112/09/21,112/12/22,114/07/26,27,100,21.2,20.8,21.7,643.3,2.99,14.1,13,16.7,19.1,已開賣(有預售實登),
102,"向陽居NO.6","冬山鄉","向信建設有限公司","補城一段278地號","特定農業區甲種建築用地",10,113/02/18,1,5,5,5,115/03/17,115/03/31,115/06/10,115/06/19,5,50,20.9,19.6,22.1,1120,4.18,15.9,24.9,27.7,0.3,已開賣(有預售實登),
103,"華薌禾綵","冬山鄉","僑馥建築經理股份有限公司","珍珠二段592地號","特定農業區甲種建築用地",18,111/03/15,1,9,9,9,111/08/08,111/09/13,111/11/12,113/08/13,15,83.3,20.6,16.5,22.3,474.7,2.29,11.6,4.8,8,21,已開賣(有預售實登),
104,"京采冬山2","冬山鄉","京棋建設開發股份有限公司","福丸段149地號","鄉村區乙種建築用地",6,111/12/05,1,7.3,7.3,7.3,113/01/29,113/04/03,113/04/20,113/06/01,5,83.3,20,19.8,20.2,997.8,2.74,12.7,13.8,16.5,1.4,已開賣(有預售實登),
105,"禾田居Ⅱ","冬山鄉","恒勝開發建設有限公司","新香城段1163地號","特定農業區甲種建築用地",13,112/01/16,1,4.7,4.7,4.7,113/05/08,113/05/16,113/06/28,114/09/22,9,69.2,19.7,17.9,20.8,1003.9,4.19,15,15.7,17.4,14.8,已開賣(有預售實登),
106,"天晴","冬山鄉","御邦營造股份有限公司","梅山段537地號","特定農業區甲種建築用地",12,110/09/09,1,6.5,6.5,6.5,111/05/20,111/05/24,111/07/29,112/09/28,9,75,19.4,18.8,19.9,795.3,2.98,12.9,8.3,10.6,14,已開賣(有預售實登),
107,"祥豪富貴I（冬山鄉山明段透天住宅）","冬山鄉","祥豪建設股份有限公司","山明段627地號","住宅區",9,108/12/12,1,7.4,7.4,7.4,111/07/04,113/01/13,113/01/30,113/04/27,7,77.8,19.4,18.2,20.8,1195.7,2.62,12,30.7,49.6,2.9,已開賣(有預售實登),
108,"日荷","冬山鄉","冠銓建設股份有限公司","寶員段236地號","特定農業區甲種建築用地",16,110/05/04,1,10,10,10,110/11/04,110/11/09,110/11/21,111/02/23,15,93.8,19.2,18.6,20.2,896.7,1.92,9.2,6,6.6,3.1,已開賣(有預售實登),
109,"松樹苑","冬山鄉","好匠事物有限公司","鹿埔新段780-20地號","鄉村區乙種建築用地",14,110/12/13,1,10.7,10.7,10.7,111/07/05,111/07/07,111/10/04,112/12/16,13,92.9,18.9,18.2,19.8,857.3,1.77,8.2,6.7,9.7,14.4,已開賣(有預售實登),
110,"祥豪富貴（冬山鄉山明段透天住宅）","冬山鄉","祥豪建設股份有限公司","山明段626地號","住宅區",5,108/12/12,1,7.4,7.4,7.4,111/01/21,111/02/24,111/03/28,111/06/06,4,80,18.8,16.5,20.1,1189.5,2.54,11.4,25.3,27.5,2.3,已開賣(有預售實登),
111,"鳳凰愛買21期","冬山鄉","以立建設股份有限公司","福丸段200地號","鄉村區乙種建築用地",31,112/10/21,2,6.9,6.8,7,114/10/02,114/11/03,114/12/18,115/05/16,3,9.7,18.6,17.9,20,634.7,2.7,11.7,23.4,25.9,4.9,已開賣(有預售實登),
112,"上好居","冬山鄉","浤暘建設有限公司","鹿埔新段62地號","特定農業區甲種建築用地",33,111/06/13,1,7,7,7,111/10/27,112/03/23,112/05/29,113/01/25,31,93.9,17.9,16.8,18.7,690,2.56,10.9,4.5,11.5,7.9,已開賣(有預售實登),
113,"依山境","冬山鄉","圓鑫建設有限公司","安平段617地號","一般農業區甲種建築用地",16,111/05/16,1,5,5,5,112/02/24,112/06/15,112/09/03,112/11/06,14,87.5,17.8,17.1,18.8,847.5,3.56,12.8,9.3,15.6,2.1,已開賣(有預售實登),
114,"鳳凰愛買-第九期","冬山鄉","大佶建設股份有限公司","太山段732地號","特定農業區甲種建築用地",51,110/10/29,1,7.1,7.1,7.1,112/03/01,112/05/19,112/06/29,112/12/24,46,90.2,17.6,16.5,21.5,897.7,2.48,10.5,16,20,5.8,已開賣(有預售實登),
115,"梅花湖之星","冬山鄉","駿佳投資股份有限公司","鹿得二段493地號","特定農業區甲種建築用地",44,110/07/29,1,6.3,6.3,6.3,111/04/26,111/05/24,111/08/13,112/06/30,41,93.2,17.3,16.2,18.9,921.2,2.75,11,8.9,12.5,10.5,已開賣(有預售實登),
116,"見晴海","壯圍鄉","瓏翔建設有限公司","壯志段10地號","特定農業區甲種建築用地",35,111/06/25,1,7.5,7.5,7.5,112/11/10,113/01/30,115/01/09,115/01/09,2,5.7,36.7,36.5,36.9,994.5,4.89,29.2,16.5,42.5,0,已開賣(有預售實登),
